Country/Region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04148699068225112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07185757571479554,0.0,0.04148699068225112,0.05867146488488576,0.0,0.0,0.08297398136450224,0.09276773134741388,0.09276773134741388,0.04148699068225112,0.0,0.0,0.05867146488488576,0.0,0.16594796272900447,0.0,0.2419086469301015,0.13119338382209642,0.13119338382209642,0.16594796272900447,0.0,0.13119338382209642,0.2933573244244288,0.08297398136450224,0.3292927799690711,0.2489219440935067,0.11734292976977152,0.17601439465465724,0.2933573244244288,0.17601439465465724,0.3104602102825331,0.19011727515734336,0.26238676764419283,0.25235551241682846,0.2419086469301015,0.2991669443391063,0.31595550788111465,0.2904089347757578,0.34710506725031165,0.3104602102825331,0.33704190559538233,0.2155727271443866,0.3292927799690711,0.2272336063967558,0.33704190559538233,0.3802345503146867,0.42104696979615786,0.35202878930931447,0.43905703995876144,0.3421104893438741,0.5440967819143032,0.4638386567370694,0.43709256907602556,0.6319110157622293,0.5312927111513458,0.4802466377253167,0.6359835241806661,0.5718587021416621,0.7536486121773416,0.537732857937865,0.5425127995666386,0.6083186953496301,0.6624941138958471,0.7969390667270186,0.7003810126086512,0.6892336536036939,0.672805926039298,0.8431152788877544,0.8441353824416111,0.7750409461172666,0.6715256091302313,0.8379961345463534,1.0,0.9202259694051468,0.9560028662125133
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07088812050083358,0.0,0.0,0.0,0.0,0.0,0.1002509414234171,0.1002509414234171,0.18755233775398514,0.0,0.15851065623706034,0.0,0.1002509414234171,0.07088812050083358,0.0,0.0,0.14177624100166716,0.1002509414234171,0.2351092977947655,0.2351092977947655,0.17363972405196976,0.17363972405196976,0.2652390597064652,0.25559075328702546,0.12278182636050869,0.49621684350583506,0.5581736189974618,0.38174421176499895,0.4133452205563576,0.43698372265949065,0.5715182987701668,0.4594075275633928,0.47553196871118103,0.5351935732088158,0.6056683670576425,0.8144424982247505,0.8113516237035778,0.835758614859313,0.9641826804117724,0.6340426249482414,0.5888409533496363,0.7194358482161508,0.47553196871118103,0.7229198194313343,0.6872858277639851,0.690931932011661,0.5671049640066687,0.6687571912918189,0.5888409533496363,0.661200370272311,0.6725037594933304,0.7366909581630522,0.868198620259849,0.7634884235299979,0.690931932011661,0.6687571912918189,0.683620277213224,0.7053278933842965,0.6981670186492972,0.7765404531490193,0.8051342782605586,0.7957171791193958,0.8236455304310191,0.8144424982247505,0.9999999999999999,0.8910498578902479,0.8623912064514712,0.8417497927340636,0.9484184136957621,0.9350785310852144,0.9771253089275364,0.8938651883110628,0.9641826804117724,0.9693804683726155,0.9745505342046624,0.910574394897647,0.9188150551267856,0.940437191179062,0.9667850675481964,0.9745505342046624,0.9693804683726155,0.9822546108840695,0.9974842727441166,0.956333030027515,0.940437191179062,0.910574394897647,0.9667850675481964
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039283710065919304,0.0,0.0,0.039283710065919304,0.09622504486493762,0.07856742013183861,0.0,0.08784104611578832,0.05555555555555555,0.0,0.1360827634879543,0.06804138174397716,0.13028932666176193,0.13028932666176193,0.1360827634879543,0.13028932666176193,0.16666666666666663,0.2187224409447725,0.2151657414559676,0.408248290463863,0.2324055629261321,0.36430214023900004,0.0,0.42127085800286385,0.36641405439646996,0.39479640009866374,0.29133579115837543,0.34020690871988585,0.6009252125773316,0.0,0.34916125249934815,0.45133546692422,0.5357583756107197,0.0,0.39868611373353674,0.3379312516832344,0.36641405439646996,0.35136418446315326,0.5270462766947299,0.0,0.5076574134026962,0.3191423692521127,0.3263150034575203,0.5061351988413499,0.4444444444444444,0.38888888888888884,0.37060177955906476,0.35355339059327373,0.39674602380793605,0.37267799624996495,0.41759156606591413,0.6701298934341565,0.515201027527539,0.5166965343816187,0.41573970964154905,0.4138795673819816,0.437444881889545,0.4937885787397549,0.46976484792466006,0.40061680838488767,0.47951879171200185,0.39674602380793605,0.40061680838488767,0.45304184528611363,0.538631095268481,0.5015408357018829,0.6085806194501846,0.5046083923495819,0.6309898162000304,0.6136311676215144,0.6631853547951846,0.6983225049986963,0.6273105439242341,0.7296625298090942,0.7092858519335391,0.6370747189544286,0.6838074236161762,0.8221471437193745,0.8552669065744806,0.9999999999999999
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337605126836238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09245003270420485,0.10675210253672476,0.16878989451394447,0.15097027121927944,0.2721655269759087,0.2721655269759087,0.13074409009212268,0.2971852760805762,0.24459979523511427,0.26148818018424536,0.31123318728261756,0.3417734875749095,0.1997148965050927,0.21350420507344953,0.2668802563418119,0.33333333333333337,0.4714045207910318,0.2200750972578416,0.4064998957468074,0.3774256780481986,0.33333333333333337,0.5119650985255363,0.4560451819471487,0.31123318728261756,0.3849001794597505,0.17702833484793146,0.2387049580131443,0.28243951524544114,0.33757978902788893,0.21350420507344953,0.2923526731023431,0.3620139928982457,0.2721655269759087,0.28243951524544114,0.3540566696958629,0.3698001308168194,0.3459163477751806,0.36592777142919053,0.35001017486227815,0.3698001308168194,0.4202834479707435,0.4529108136578383,0.3774256780481986,0.4560451819471487,0.4803844614152614,0.44337478117411755,0.4202834479707435,0.4099892292379985,0.43033148291193524,0.6178724639975323,0.48334070138798957,0.5967623950328608,0.5673952078906924,0.5871365639519862,0.5648790304908823,0.6814598039411162,0.5390716933750933,0.6427327695904521,0.6449452813645635,0.6270266287506402,0.47441672090180914,0.6449452813645635,0.716114874039433,0.6360490582953524,0.7240279857964914,0.8251737277153709,0.7337993857053429,1.0,0.7880879526313171,0.8094878969266035,0.9769421448662937
Australia,0.0,0.0,0.0,0.0,0.08971226080325131,0.04485613040162566,0.0,0.04485613040162566,0.07769309688655059,0.0,0.07769309688655059,0.0,0.0,0.04485613040162566,0.0,0.04485613040162566,0.04485613040162566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1418475390906605,0.06343614796955512,0.07769309688655059,0.13456839120487696,0.16173107818196042,0.07769309688655059,0.10030135678562992,0.07769309688655059,0.16173107818196042,0.17372704602080438,0.17942452160650263,0.20555661294825947,0.0,0.38061688781733066,0.31718073984777556,0.30751813674409406,0.40120542714251967,0.38846548443275297,0.4831153096461412,0.4768272067643204,0.4704550645989912,0.7505866250408015,0.980699048506959,0.5173061316114635,0.8534460857769327,0.8024108542850393,0.9473037030620168,0.8185475677835381,1.0,0.8319572810577657,0.8709485104454123,0.6311817028814395,0.7808059603295282,0.7148890811799702,0.6561886169433573,0.665323932843004,0.5250275455071357,0.4704550645989912,0.44405303578688576,0.48102840870356006,0.44405303578688576,0.4639954207780699,0.4207878019209597,0.15538619377310117,0.2691367824097539,0.35884904321300526,0.2242806520081283,0.21039390096047986,0.34745409204160876,0.30422907814992256,0.29070094986690553,0.16173107818196042,0.21039390096047986,0.11867816581938533,0.1418475390906605,0.17372704602080438,0.18494656360238212,0.20060271357125983,0.11867816581938533,0.21512244419394236,0.12687229593911023,0.1678362716593378,0.15538619377310117,0.20555661294825947,0.21512244419394236,0.2242806520081283,0.23735633163877065,0.1955233394189688,0.1955233394189688,0.10030135678562992,0.20555661294825947,0.13456839120487696,0.21039390096047986,0.1418475390906605,0.13456839120487696,0.2456871446336364,0.17942452160650263,0.13456839120487696,0.1418475390906605,0.1678362716593378,0.08971226080325131,0.13456839120487696,0.1678362716593378
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03891021128204814,0.0,0.027513674254937545,0.0,0.0673944628737471,0.06152244594482623,0.05502734850987509,0.0476550817124516,0.07782042256409628,0.0953101634249032,0.10294674251327908,0.1347889257474942,0.13756837127468774,0.1429652451373548,0.19648693549787852,0.22010939403950036,0.20589348502655816,0.39104278377611856,0.338093689562566,0.3939358647754691,0.3458415226936703,0.4875435499482475,0.4875435499482475,0.5270861727075568,0.5328000109117443,0.5678758380569668,0.7624813073992256,0.82173354911314,0.7825693817448468,0.48050566350156365,1.0,0.75248767346256,0.6817619778179062,0.6255958552536313,0.792661267462751,0.6522539967725984,0.6340096260346666,0.5625183990598421,0.5468234605864046,0.4410777523847139,0.4520958008783531,0.43153511869565847,0.508817036550792,0.4789276439244914,0.4781366811321398,0.4852089305475723,0.4358985776791547,0.32438143545823794,0.2695778514949884,0.37422642896548663,0.288565850042498,0.3255461840368488,0.30013875166297793,0.23985865128553902,0.2429941915736494,0.1866068178452047,0.2429941915736494,0.19840392660518158,0.24143151175338445,0.22854574312261888,0.24143151175338445,0.24143151175338445,0.1925957197845628,0.25066150181782104,0.1845673378344787,0.1945510564102407,0.24454688591257553,0.1429652451373548,0.17182284065067052,0.1347889257474942,0.14816567031265232,0.16043091103098445,0.22688357020388958,0.12905057133600722,0.21133654201155552,0.169605678850264,0.09125253410768899,0.24454688591257553,0.16508204552962527,0.21488866543262722,0.19648693549787852,0.26390189262797414,0.17617347448262277,0.1429652451373548,0.19840392660518158,0.15564084512819257,0.19648693549787852
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13779456365238757,0.0,0.0,0.0,0.13779456365238757,0.0,0.13779456365238757,0.0,0.0,0.11250879009260238,0.0,0.0,0.159111456835146,0.0,0.22501758018520476,0.177892016741205,0.0,0.0,0.318222913670292,0.0,0.238667185252719,0.27558912730477514,0.21048467276349228,0.3081180112566604,0.19487094073848923,0.42842070888026446,0.5216817983543006,0.328016671388606,0.41338369095716276,0.636445827340584,0.39777864208786495,0.6213501020898673,0.5094052128571869,0.5216817983543006,0.7026171689305275,0.6314540182904768,0.6006325779300403,0.6935507611039354,0.8152036322449233,0.8113124232385854,0.6413987878561129,0.651191702121113,0.5031546054266276,0.5625439504630119,0.556890098923011,0.5953405577875871,0.43574467033059505,0.6006325779300403,0.45701286578571376,0.39777864208786495,0.49041444627368386,0.5277130021690083,0.49041444627368386,0.43574467033059505,0.5277130021690083,0.39777864208786495,0.42096934552698456,0.45701286578571376,0.49682536472886996,0.556890098923011,0.49041444627368386,0.5625439504630119,0.5031546054266276,0.49041444627368386,0.5736845161328941,0.6935507611039354,0.651191702121113,0.6980986836772425,0.688972818261938,0.9513481440246995,0.7835330565029858,0.6656109784878433,0.8113124232385854,0.6413987878561129,0.875113012593303,0.7995251755442813,0.9999999999999999,0.9277712507244908,0.8456889933171186,0.9105569307026512,0.8456889933171186,0.8641964146176345
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050964719143762556,0.23904572186687875,0.16116459280507608,0.0,0.08827348295047495,0.11396057645963796,0.12483755678647185,0.07207499701564472,0.0,0.08827348295047495,0.08827348295047495,0.11396057645963796,0.2548235957188128,0.0,0.16116459280507608,0.1973855084879307,0.4698714938993648,0.0,0.0,0.1973855084879307,0.10192943828752511,0.0,0.19069251784911848,0.26967994498529685,0.23904572186687875,0.13483997249264842,0.22792115291927592,0.2744534119384842,0.33419801269354027,0.1973855084879307,0.26482044885142486,0.3182745690417337,0.14414999403128945,0.16116459280507608,0.24441820664643568,0.20385887657505022,0.36751181622491413,0.07207499701564472,0.4384150912181197,0.2744534119384842,0.20385887657505022,0.1765469659009499,0.38138503569823695,0.37796447300922725,0.1765469659009499,0.40771775315010045,0.3141676283471909,0.5465357250000211,0.4993502271458874,0.7644707871564383,0.6586093180074465,0.6094494002200441,0.2744534119384842,0.32232918561015217,0.29277002188455997,0.5296408977028497,0.259870097418821,0.41403933560541256,0.3745126703594156,0.7025001733142089,0.8842048302391148,0.4264014327112209,0.3914674357424296,0.4443001208671875,0.4780914437337575,0.5345224838248488,0.5559594491425692,0.5810872031479765,0.544154294390751,0.50709255283711,0.6241877839323593,0.6969320524371696,0.7455495663228273,0.8296455196719189,0.7977240352174657,0.9258200997725514,0.6586093180074465,0.8753477972976034,0.8753477972976034,0.8603834844182798,0.9960962765756092,1.0,0.6526668568067678,0.7367883976130073,0.7695503831509619,0.9507345075761708,0.9616003976056399,0.8618916073713346
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04113450348948635,0.0,0.0,0.0,0.0,0.0,0.0,0.033586181457325226,0.04113450348948635,0.033586181457325226,0.047498033325273095,0.04113450348948635,0.04113450348948635,0.053104415656430516,0.033586181457325226,0.058172972716315004,0.058172972716315004,0.0,0.053104415656430516,0.047498033325273095,0.0,0.0,0.023749016662636548,0.033586181457325226,0.04113450348948635,0.033586181457325226,0.053104415656430516,0.07124704998790965,0.10075854437197566,0.14050107734632,0.15206790420772465,0.17451891814894502,0.25133596788666185,0.23025525941781594,0.18086712239002126,0.27999677703406545,0.32039175118045454,0.34333555105817015,0.35145335187594845,0.43855374268473213,0.3873347399725747,0.4154381211291395,0.4194912719496829,0.5267786725765924,0.4947553475404887,0.46900550002367075,0.48322100334222434,0.5326349064776179,0.4174696154987046,0.4855497927513045,0.529448627199814,0.5564572490773765,0.6012770766921377,0.5640078961658198,0.5674971519615668,0.5579755527154285,0.6124299976112006,0.6229308671114521,0.6658201054786196,0.6675121542184298,0.6310270592171029,0.6323663470184918,0.5989274112889073,0.7073061627726859,0.7636703014948419,0.7392775546954476,0.8095593559571915,0.7662508988133835,0.8233753594294101,0.7242476696346597,0.847344147191037,0.9505542064987067,0.8399903311021965,0.954993998085338,1.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025949964805384102,0.0,0.0,0.0,0.0,0.05802588531856596,0.0,0.0,0.0,0.0,0.0,0.044946657497549475,0.0,0.044946657497549475,0.10050378152592122,0.0,0.0,0.07784989441615231,0.0,0.10050378152592122,0.0,0.11009637651263607,0.06865715340592497,0.0,0.05802588531856596,0.0,0.05802588531856596,0.0,0.07339758434175739,0.0,0.0,0.1976290440629592,0.0,0.08606629658238706,0.30813875924572515,0.1779039955982767,0.24481147835152653,0.28662672965877095,0.30484306278689194,0.3292681406050522,0.37154695268180854,0.5318160234783105,0.5773502691896258,0.4061811972299617,0.4868644955601477,0.47919685895217395,0.4937317528486939,0.5486438744851719,0.566161390893728,0.6222582962125834,0.0,0.0,1.0,0.5559594491425693,0.6129906816237713,0.7063921708158288,0.7111426760671207,0.7417333416857774,0.7667325399895247,0.7458075865992222,0.7866735147793009,0.8094559007252065,0.7547827301263389,0.7741618689438272,0.7832419890863958,0.7684870789885739,0.7265990145507548,0.7614446662745625,0.7806584460746002,0.7841012784167712,0.792642938707479,0.8002524854094741,0.7875290599095505,0.792642938707479,0.8069562882699728,0.8006731174939253,0.7985677414662065,0.8031922840253417,0.8002524854094741,0.8077903518396667,0.787956484125501,0.7939162615181972,0.7862453931068966,0.7977240352174657
