Country/Region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,0.0,1.0,1.4142135623730951,0.0,0.0,2.0,2.23606797749979,2.23606797749979,1.0,0.0,0.0,1.4142135623730951,0.0,4.0,0.0,5.830951894845301,3.1622776601683795,3.1622776601683795,4.0,0.0,3.1622776601683795,7.0710678118654755,2.0,7.937253933193772,6.0,2.8284271247461903,4.242640687119285,7.0710678118654755,4.242640687119285,7.483314773547883,4.58257569495584,6.324555320336759,6.082762530298219,5.830951894845301,7.211102550927978,7.615773105863909,7.0,8.366600265340756,7.483314773547883,8.12403840463596,5.196152422706632,7.937253933193772,5.477225575051661,8.12403840463596,9.16515138991168,10.14889156509222,8.48528137423857,10.583005244258363,8.246211251235321,13.114877048604,11.180339887498949,10.535653752852738,15.231546211727817,12.806248474865697,11.575836902790225,15.329709716755891,13.784048752090222,18.16590212458495,12.96148139681572,13.076696830622021,14.66287829861518,15.968719422671311,19.209372712298546,16.881943016134134,16.61324772583615,16.217274740226856,20.322401432901575,20.346989949375804,18.681541692269406,16.186414056238647,20.199009876724155,24.1039415863879,22.181073012818835,23.043437243605826
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,2.6457513110645907,0.0,2.23606797749979,0.0,1.4142135623730951,1.0,0.0,0.0,2.0,1.4142135623730951,3.3166247903554,3.3166247903554,2.449489742783178,2.449489742783178,3.7416573867739413,3.605551275463989,1.7320508075688772,7.0,7.874007874011811,5.385164807134504,5.830951894845301,6.164414002968976,8.06225774829855,6.48074069840786,6.708203932499369,7.54983443527075,8.54400374531753,11.489125293076057,11.445523142259598,11.789826122551595,13.601470508735444,8.94427190999916,8.306623862918075,10.14889156509222,6.708203932499369,10.198039027185569,9.695359714832659,9.746794344808963,8.0,9.433981132056603,8.306623862918075,9.327379053088816,9.486832980505138,10.392304845413264,12.24744871391589,10.770329614269007,9.746794344808963,9.433981132056603,9.643650760992955,9.9498743710662,9.848857801796104,10.954451150103322,11.357816691600547,11.224972160321824,11.61895003862225,11.489125293076057,14.106735979665885,12.569805089976535,12.165525060596439,11.874342087037917,13.379088160259652,13.19090595827292,13.784048752090222,12.609520212918492,13.601470508735444,13.674794331177344,13.74772708486752,12.84523257866513,12.96148139681572,13.2664991614216,13.638181696985855,13.74772708486752,13.674794331177344,13.856406460551018,14.071247279470288,13.490737563232042,13.2664991614216,12.84523257866513,13.638181696985855
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.449489742783178,2.0,0.0,2.23606797749979,1.4142135623730951,0.0,3.4641016151377544,1.7320508075688772,3.3166247903554,3.3166247903554,3.4641016151377544,3.3166247903554,4.242640687119285,5.5677643628300215,5.477225575051661,10.392304845413264,5.916079783099616,9.273618495495704,0.0,10.723805294763608,9.327379053088816,10.04987562112089,7.416198487095663,8.660254037844387,15.297058540778355,0.0,8.888194417315589,11.489125293076057,13.638181696985855,0.0,10.14889156509222,8.602325267042627,9.327379053088816,8.94427190999916,13.416407864998739,0.0,12.922847983320086,8.12403840463596,8.306623862918075,12.884098726725126,11.313708498984761,9.899494936611665,9.433981132056603,9.0,10.099504938362077,9.486832980505138,10.63014581273465,17.05872210923198,13.114877048604,13.152946437965905,10.583005244258363,10.535653752852738,11.135528725660043,12.569805089976535,11.958260743101398,10.198039027185569,12.206555615733702,10.099504938362077,10.198039027185569,11.532562594670797,13.711309200802088,12.767145334803704,15.491933384829668,12.84523257866513,16.06237840420901,15.620499351813308,16.881943016134134,17.776388834631177,15.968719422671311,18.57417562100671,18.05547008526779,16.217274740226856,17.406895185529212,20.92844953645635,21.77154105707724,25.45584412271571
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,2.0,3.1622776601683795,2.8284271247461903,5.0990195135927845,5.0990195135927845,2.449489742783178,5.5677643628300215,4.58257569495584,4.898979485566356,5.830951894845301,6.4031242374328485,3.7416573867739413,4.0,5.0,6.244997998398398,8.831760866327848,4.123105625617661,7.615773105863909,7.0710678118654755,6.244997998398398,9.591663046625438,8.54400374531753,5.830951894845301,7.211102550927978,3.3166247903554,4.47213595499958,5.291502622129181,6.324555320336759,4.0,5.477225575051661,6.782329983125268,5.0990195135927845,5.291502622129181,6.6332495807108,6.928203230275509,6.48074069840786,6.855654600401044,6.557438524302,6.928203230275509,7.874007874011811,8.48528137423857,7.0710678118654755,8.54400374531753,9.0,8.306623862918075,7.874007874011811,7.681145747868608,8.06225774829855,11.575836902790225,9.055385138137417,11.180339887498949,10.63014581273465,11.0,10.583005244258363,12.767145334803704,10.099504938362077,12.041594578792296,12.083045973594572,11.74734012447073,8.888194417315589,12.083045973594572,13.416407864998739,11.916375287812984,13.564659966250536,15.459624833740307,13.74772708486752,18.734993995195193,14.7648230602334,15.165750888103101,18.303005217723125
Australia,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.7320508075688772,0.0,1.7320508075688772,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1622776601683795,1.4142135623730951,1.7320508075688772,3.0,3.605551275463989,1.7320508075688772,2.23606797749979,1.7320508075688772,3.605551275463989,3.872983346207417,4.0,4.58257569495584,0.0,8.48528137423857,7.0710678118654755,6.855654600401044,8.94427190999916,8.660254037844387,10.770329614269007,10.63014581273465,10.488088481701515,16.73320053068151,21.863211109075447,11.532562594670797,19.026297590440446,17.88854381999832,21.118712081942874,18.24828759089466,22.293496809607955,18.547236990991408,19.4164878389476,14.071247279470288,17.406895185529212,15.937377450509228,14.628738838327793,14.832396974191326,11.704699910719626,10.488088481701515,9.899494936611665,10.723805294763608,9.899494936611665,10.344080432788601,9.38083151964686,3.4641016151377544,6.0,8.0,5.0,4.69041575982343,7.745966692414834,6.782329983125268,6.48074069840786,3.605551275463989,4.69041575982343,2.6457513110645907,3.1622776601683795,3.872983346207417,4.123105625617661,4.47213595499958,2.6457513110645907,4.795831523312719,2.8284271247461903,3.7416573867739413,3.4641016151377544,4.58257569495584,4.795831523312719,5.0,5.291502622129181,4.358898943540674,4.358898943540674,2.23606797749979,4.58257569495584,3.0,4.69041575982343,3.1622776601683795,3.0,5.477225575051661,4.0,3.0,3.1622776601683795,3.7416573867739413,2.0,3.0,3.7416573867739413
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,1.0,0.0,2.449489742783178,2.23606797749979,2.0,1.7320508075688772,2.8284271247461903,3.4641016151377544,3.7416573867739413,4.898979485566356,5.0,5.196152422706632,7.14142842854285,8.0,7.483314773547883,14.212670403551895,12.288205727444508,14.317821063276353,12.569805089976535,17.72004514666935,17.72004514666935,19.157244060668017,19.364916731037084,20.639767440550294,27.712812921102035,29.866369046136157,28.442925306655784,17.46424919657298,36.345563690772494,27.349588662354687,24.779023386727733,22.737634001804146,28.809720581775867,23.706539182259394,23.043437243605826,20.445048300260872,19.87460691435179,16.0312195418814,16.431676725154983,15.684387141358123,18.49324200890693,17.406895185529212,17.378147196982766,17.635192088548397,15.84297951775486,11.789826122551595,9.797958971132712,13.601470508735444,10.488088481701515,11.832159566199232,10.908712114635714,8.717797887081348,8.831760866327848,6.782329983125268,8.831760866327848,7.211102550927978,8.774964387392123,8.306623862918075,8.774964387392123,8.774964387392123,7.0,9.1104335791443,6.708203932499369,7.0710678118654755,8.888194417315589,5.196152422706632,6.244997998398398,4.898979485566356,5.385164807134504,5.830951894845301,8.246211251235321,4.69041575982343,7.681145747868608,6.164414002968976,3.3166247903554,8.888194417315589,6.0,7.810249675906654,7.14142842854285,9.591663046625438,6.4031242374328485,5.196152422706632,7.211102550927978,5.656854249492381,7.14142842854285
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,0.0,0.0,0.0,1.7320508075688772,0.0,1.7320508075688772,0.0,0.0,1.4142135623730951,0.0,0.0,2.0,0.0,2.8284271247461903,2.23606797749979,0.0,0.0,4.0,0.0,3.0,3.4641016151377544,2.6457513110645907,3.872983346207417,2.449489742783178,5.385164807134504,6.557438524302,4.123105625617661,5.196152422706632,8.0,5.0,7.810249675906654,6.4031242374328485,6.557438524302,8.831760866327848,7.937253933193772,7.54983443527075,8.717797887081348,10.246950765959598,10.198039027185569,8.06225774829855,8.18535277187245,6.324555320336759,7.0710678118654755,7.0,7.483314773547883,5.477225575051661,7.54983443527075,5.744562646538029,5.0,6.164414002968976,6.6332495807108,6.164414002968976,5.477225575051661,6.6332495807108,5.0,5.291502622129181,5.744562646538029,6.244997998398398,7.0,6.164414002968976,7.0710678118654755,6.324555320336759,6.164414002968976,7.211102550927978,8.717797887081348,8.18535277187245,8.774964387392123,8.660254037844387,11.958260743101398,9.848857801796104,8.366600265340756,10.198039027185569,8.06225774829855,11.0,10.04987562112089,12.569805089976535,11.661903789690601,10.63014581273465,11.445523142259598,10.63014581273465,10.862780491200215
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.69041575982343,3.1622776601683795,0.0,1.7320508075688772,2.23606797749979,2.449489742783178,1.4142135623730951,0.0,1.7320508075688772,1.7320508075688772,2.23606797749979,5.0,0.0,3.1622776601683795,3.872983346207417,9.219544457292887,0.0,0.0,3.872983346207417,2.0,0.0,3.7416573867739413,5.291502622129181,4.69041575982343,2.6457513110645907,4.47213595499958,5.385164807134504,6.557438524302,3.872983346207417,5.196152422706632,6.244997998398398,2.8284271247461903,3.1622776601683795,4.795831523312719,4.0,7.211102550927978,1.4142135623730951,8.602325267042627,5.385164807134504,4.0,3.4641016151377544,7.483314773547883,7.416198487095663,3.4641016151377544,8.0,6.164414002968976,10.723805294763608,9.797958971132712,15.0,12.922847983320086,11.958260743101398,5.385164807134504,6.324555320336759,5.744562646538029,10.392304845413264,5.0990195135927845,8.12403840463596,7.3484692283495345,13.784048752090222,17.349351572897472,8.366600265340756,7.681145747868608,8.717797887081348,9.38083151964686,10.488088481701515,10.908712114635714,11.40175425099138,10.677078252031311,9.9498743710662,12.24744871391589,13.674794331177344,14.628738838327793,16.278820596099706,15.652475842498529,18.16590212458495,12.922847983320086,17.175564037317667,17.175564037317667,16.881943016134134,19.544820285692065,19.621416870348583,12.806248474865697,14.45683229480096,15.0996688705415,18.65475810617763,18.867962264113206,16.911534525287763
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,2.0,1.7320508075688772,1.7320508075688772,2.23606797749979,1.4142135623730951,2.449489742783178,2.449489742783178,0.0,2.23606797749979,2.0,0.0,0.0,1.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,2.23606797749979,3.0,4.242640687119285,5.916079783099616,6.4031242374328485,7.3484692283495345,10.583005244258363,9.695359714832659,7.615773105863909,11.789826122551595,13.490737563232042,14.45683229480096,14.798648586948742,18.466185312619388,16.30950643030009,17.4928556845359,17.663521732655695,22.181073012818835,20.83266665599966,19.748417658131498,20.346989949375804,22.427661492005804,17.578395831246947,20.445048300260872,22.293496809607955,23.430749027719962,25.317977802344327,23.748684174075834,23.895606290697042,23.49468024894146,25.787593916455254,26.229754097208,28.035691537752374,28.106938645110393,26.570660511172846,26.627053911388696,25.219040425836983,29.782545223670862,32.155870381627054,31.12876483254676,34.08812109811862,32.264531609803356,34.66987164671943,30.495901363953813,35.679125549822544,40.024992192379,35.369478367654786,40.2119385257662,42.1070065428546
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.23606797749979,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,0.0,1.7320508075688772,3.872983346207417,0.0,0.0,3.0,0.0,3.872983346207417,0.0,4.242640687119285,2.6457513110645907,0.0,2.23606797749979,0.0,2.23606797749979,0.0,2.8284271247461903,0.0,0.0,7.615773105863909,0.0,3.3166247903554,11.874342087037917,6.855654600401044,9.433981132056603,11.045361017187261,11.74734012447073,12.68857754044952,14.317821063276353,20.493901531919196,22.24859546128699,15.652475842498529,18.76166303929372,18.466185312619388,19.026297590440446,21.142374511865974,21.817424229271428,23.979157616563597,0.0,0.0,38.535697735995385,21.42428528562855,23.62202362203543,27.2213151776324,27.40437921208944,28.583211855912904,29.546573405388315,28.74021572639983,30.315012782448235,31.192947920964443,29.086079144497972,29.832867780352597,30.18277654557314,29.614185789921695,28.0,29.34280150224242,30.083217912982647,30.215889859476256,30.54504869860253,30.83828789021855,30.347981810987037,30.54504869860253,31.096623610932426,30.854497241083024,30.773365106858236,30.95157508108432,30.83828789021855,31.12876483254676,30.364452901377952,30.59411708155671,30.298514815086232,30.740852297878796
